,Name,Defending,General,Mental,Passing,Mobility,Power,Rating,Shooting,Nationality,Flag,Club,club_logo,Photo
0,L. Messi,29,89,71,87,91,74,94,88,Argentina,https://cdn.sofifa.org/flags/52.png,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,https://cdn.sofifa.org/players/4/19/158023.png
1,Cristiano Ronaldo,27,88,73,81,91,83,94,88,Portugal,https://cdn.sofifa.org/flags/38.png,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,https://cdn.sofifa.org/players/4/19/20801.png
2,Neymar Jr,28,85,72,80,94,69,92,84,Brazil,https://cdn.sofifa.org/flags/54.png,Paris Saint-Germain,https://cdn.sofifa.org/teams/2/light/73.png,https://cdn.sofifa.org/players/4/19/190871.png
3,De Gea,16,26,43,39,66,54,92,21,Spain,https://cdn.sofifa.org/flags/45.png,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,https://cdn.sofifa.org/players/4/19/193080.png
4,K. De Bruyne,59,79,81,92,81,76,92,85,Belgium,https://cdn.sofifa.org/flags/7.png,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,https://cdn.sofifa.org/players/4/19/192985.png
5,E. Hazard,28,83,72,84,92,75,91,82,Belgium,https://cdn.sofifa.org/flags/7.png,Chelsea,https://cdn.sofifa.org/teams/2/light/5.png,https://cdn.sofifa.org/players/4/19/183277.png
6,L. Modrić,70,81,80,89,84,77,91,78,Croatia,https://cdn.sofifa.org/flags/10.png,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,https://cdn.sofifa.org/players/4/19/177003.png
7,L. Suárez,48,85,78,74,84,81,91,87,Uruguay,https://cdn.sofifa.org/flags/60.png,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,https://cdn.sofifa.org/players/4/19/176580.png
8,Sergio Ramos,90,78,77,74,78,82,91,68,Spain,https://cdn.sofifa.org/flags/45.png,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,https://cdn.sofifa.org/players/4/19/155862.png
9,J. Oblak,19,14,41,23,64,61,92,14,Slovenia,https://cdn.sofifa.org/flags/44.png,Atlético Madrid,https://cdn.sofifa.org/teams/2/light/240.png,https://cdn.sofifa.org/players/4/19/200389.png
10,R. Lewandowski,32,84,75,70,81,81,90,88,Poland,https://cdn.sofifa.org/flags/37.png,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,https://cdn.sofifa.org/players/4/19/188545.png
11,T. Kroos,73,78,78,91,71,62,90,82,Germany,https://cdn.sofifa.org/flags/21.png,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,https://cdn.sofifa.org/players/4/19/182521.png
12,D. Godín,89,68,72,68,70,75,90,50,Uruguay,https://cdn.sofifa.org/flags/60.png,Atlético Madrid,https://cdn.sofifa.org/teams/2/light/240.png,https://cdn.sofifa.org/players/4/19/182493.png
13,David Silva,47,80,76,88,79,71,90,76,Spain,https://cdn.sofifa.org/flags/45.png,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,https://cdn.sofifa.org/players/4/19/168542.png
14,N. Kanté,89,66,83,78,84,85,90,61,France,https://cdn.sofifa.org/flags/18.png,Chelsea,https://cdn.sofifa.org/teams/2/light/5.png,https://cdn.sofifa.org/players/4/19/215914.png
15,P. Dybala,21,85,67,81,87,76,92,86,Argentina,https://cdn.sofifa.org/flags/52.png,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,https://cdn.sofifa.org/players/4/19/211110.png
16,H. Kane,43,82,75,79,76,80,90,85,England,https://cdn.sofifa.org/flags/14.png,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,https://cdn.sofifa.org/players/4/19/202126.png
17,A. Griezmann,51,86,73,80,88,79,90,83,France,https://cdn.sofifa.org/flags/18.png,Atlético Madrid,https://cdn.sofifa.org/teams/2/light/240.png,https://cdn.sofifa.org/players/4/19/194765.png
18,M. ter Stegen,16,16,43,31,52,59,90,16,Germany,https://cdn.sofifa.org/flags/21.png,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,https://cdn.sofifa.org/players/4/19/192448.png
19,T. Courtois,18,17,32,27,61,55,90,21,Belgium,https://cdn.sofifa.org/flags/7.png,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,https://cdn.sofifa.org/players/4/19/192119.png
20,Sergio Busquets,85,76,85,78,64,70,89,59,Spain,https://cdn.sofifa.org/flags/45.png,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,https://cdn.sofifa.org/players/4/19/189511.png
21,E. Cavani,45,82,77,67,80,79,89,84,Uruguay,https://cdn.sofifa.org/flags/60.png,Paris Saint-Germain,https://cdn.sofifa.org/teams/2/light/73.png,https://cdn.sofifa.org/players/4/19/179813.png
22,M. Neuer,13,29,42,43,62,59,89,20,Germany,https://cdn.sofifa.org/flags/21.png,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,https://cdn.sofifa.org/players/4/19/167495.png
23,S. Agüero,21,84,71,72,86,80,89,84,Argentina,https://cdn.sofifa.org/flags/52.png,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,https://cdn.sofifa.org/players/4/19/153079.png
24,G. Chiellini,92,64,68,59,68,74,89,48,Italy,https://cdn.sofifa.org/flags/27.png,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,https://cdn.sofifa.org/players/4/19/138956.png
25,K. Mbappé,33,84,71,77,93,78,92,76,France,https://cdn.sofifa.org/flags/18.png,Paris Saint-Germain,https://cdn.sofifa.org/teams/2/light/73.png,https://cdn.sofifa.org/players/4/19/231747.png
26,M. Salah,41,80,76,77,92,78,88,74,Egypt,https://cdn.sofifa.org/flags/111.png,Liverpool,https://cdn.sofifa.org/teams/2/light/9.png,https://cdn.sofifa.org/players/4/19/209331.png
27,Casemiro,88,70,81,73,68,82,89,70,Brazil,https://cdn.sofifa.org/flags/54.png,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,https://cdn.sofifa.org/players/4/19/200145.png
28,J. Rodríguez,46,82,75,87,77,67,88,86,Colombia,https://cdn.sofifa.org/flags/56.png,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,https://cdn.sofifa.org/players/4/19/198710.png
29,L. Insigne,32,82,63,83,89,66,88,75,Italy,https://cdn.sofifa.org/flags/27.png,Napoli,https://cdn.sofifa.org/teams/2/light/48.png,https://cdn.sofifa.org/players/4/19/198219.png
30,Isco,58,83,75,82,77,71,90,75,Spain,https://cdn.sofifa.org/flags/45.png,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,https://cdn.sofifa.org/players/4/19/197781.png
31,C. Eriksen,46,78,73,89,79,70,90,81,Denmark,https://cdn.sofifa.org/flags/13.png,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,https://cdn.sofifa.org/players/4/19/190460.png
32,Coutinho,52,80,73,83,85,73,88,81,Brazil,https://cdn.sofifa.org/flags/54.png,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,https://cdn.sofifa.org/players/4/19/189242.png
33,P. Aubameyang,29,80,69,73,88,75,88,81,Gabon,https://cdn.sofifa.org/flags/115.png,Arsenal,https://cdn.sofifa.org/teams/2/light/1.png,https://cdn.sofifa.org/players/4/19/188567.png
34,M. Hummels,89,75,77,77,67,70,88,60,Germany,https://cdn.sofifa.org/flags/21.png,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,https://cdn.sofifa.org/players/4/19/178603.png
35,Marcelo,81,86,84,83,85,83,88,67,Brazil,https://cdn.sofifa.org/flags/54.png,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,https://cdn.sofifa.org/players/4/19/176676.png
36,G. Bale,54,86,75,84,89,77,88,86,Wales,https://cdn.sofifa.org/flags/50.png,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,https://cdn.sofifa.org/players/4/19/173731.png
37,H. Lloris,19,16,33,38,67,53,88,18,France,https://cdn.sofifa.org/flags/18.png,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,https://cdn.sofifa.org/players/4/19/167948.png
38,G. Higuaín,25,81,64,67,77,76,88,80,Argentina,https://cdn.sofifa.org/flags/52.png,Milan,https://cdn.sofifa.org/teams/2/light/47.png,https://cdn.sofifa.org/players/4/19/167664.png
39,Thiago Silva,87,71,75,73,73,78,88,61,Brazil,https://cdn.sofifa.org/flags/54.png,Paris Saint-Germain,https://cdn.sofifa.org/teams/2/light/73.png,https://cdn.sofifa.org/players/4/19/164240.png
40,S. Handanovič,16,12,34,27,59,56,88,17,Slovenia,https://cdn.sofifa.org/flags/44.png,Inter,https://cdn.sofifa.org/teams/2/light/44.png,https://cdn.sofifa.org/players/4/19/162835.png
41,G. Buffon,12,22,40,28,56,58,88,20,Italy,https://cdn.sofifa.org/flags/27.png,Paris Saint-Germain,https://cdn.sofifa.org/teams/2/light/73.png,https://cdn.sofifa.org/players/4/19/1179.png
42,S. Umtiti,88,74,73,74,74,79,90,67,France,https://cdn.sofifa.org/flags/18.png,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,https://cdn.sofifa.org/players/4/19/205600.png
43,M. Icardi,30,77,64,58,80,80,88,76,Argentina,https://cdn.sofifa.org/flags/52.png,Inter,https://cdn.sofifa.org/teams/2/light/44.png,https://cdn.sofifa.org/players/4/19/201399.png
44,K. Koulibaly,88,59,64,51,68,72,88,27,Senegal,https://cdn.sofifa.org/flags/136.png,Napoli,https://cdn.sofifa.org/teams/2/light/48.png,https://cdn.sofifa.org/players/4/19/201024.png
45,P. Pogba,68,84,80,85,76,81,89,82,France,https://cdn.sofifa.org/flags/18.png,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,https://cdn.sofifa.org/players/4/19/195864.png
46,K. Navas,19,14,41,26,63,62,87,17,Costa Rica,https://cdn.sofifa.org/flags/72.png,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,https://cdn.sofifa.org/players/4/19/193041.png
47,R. Lukaku,30,78,70,76,78,74,88,79,Belgium,https://cdn.sofifa.org/flags/7.png,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,https://cdn.sofifa.org/players/4/19/192505.png
48,C. Immobile,33,79,71,59,82,74,87,79,Italy,https://cdn.sofifa.org/flags/27.png,Lazio,https://cdn.sofifa.org/teams/2/light/46.png,https://cdn.sofifa.org/players/4/19/192387.png
49,Jordi Alba,80,78,77,82,90,80,87,64,Spain,https://cdn.sofifa.org/flags/45.png,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,https://cdn.sofifa.org/players/4/19/189332.png
50,D. Mertens,35,74,69,78,90,67,87,79,Belgium,https://cdn.sofifa.org/flags/7.png,Napoli,https://cdn.sofifa.org/teams/2/light/48.png,https://cdn.sofifa.org/players/4/19/175943.png
51,J. Vertonghen,88,71,77,74,68,75,87,66,Belgium,https://cdn.sofifa.org/flags/7.png,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,https://cdn.sofifa.org/players/4/19/172871.png
52,M. Hamšík,70,82,77,83,75,72,87,78,Slovakia,https://cdn.sofifa.org/flags/43.png,Napoli,https://cdn.sofifa.org/teams/2/light/48.png,https://cdn.sofifa.org/players/4/19/171877.png
53,I. Rakitić,72,79,78,87,68,64,87,84,Croatia,https://cdn.sofifa.org/flags/10.png,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,https://cdn.sofifa.org/players/4/19/168651.png
54,Piqué,87,70,73,73,63,64,87,58,Spain,https://cdn.sofifa.org/flags/45.png,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,https://cdn.sofifa.org/players/4/19/152729.png
55,L. Sané,34,82,68,75,90,74,89,78,Germany,https://cdn.sofifa.org/flags/21.png,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,https://cdn.sofifa.org/players/4/19/222492.png
56,Bernardo Silva,43,79,72,83,82,66,88,70,Portugal,https://cdn.sofifa.org/flags/38.png,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,https://cdn.sofifa.org/players/4/19/218667.png
